"","X","Transect_Site","WD","logFruitLength","logFruitWidth","logSeedLength","logSeedWidth","logSugar","logFat","logProtein","logNitrogen","logTannins","logSLA","Species","Predicted","tpi","roughness","slope","aspect","flowdir","lat","long","Site"
"1",1,"Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Avahi_laniger",0.47887044,29.625,45,0.880695983,99.65232619,1,-20.992,47.402,"Ampatsoana"
"2",2,"Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Cheirogaleus_crossleyi",0.638644872,29.625,45,0.880695983,99.65232619,1,-20.992,47.402,"Ampatsoana"
"3",3,"Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Eulemur_rubriventer",3.804685785,29.625,45,0.880695983,99.65232619,1,-20.992,47.402,"Ampatsoana"
"4",4,"Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Propithecus_edwardsi",2.862997722,29.625,45,0.880695983,99.65232619,1,-20.992,47.402,"Ampatsoana"
"5",5,"Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Lepilemur_microdon",0.310027317,29.625,45,0.880695983,99.65232619,1,-20.992,47.402,"Ampatsoana"
"6",6,"Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Hapalemur_griseus",1.144168841,29.625,45,0.880695983,99.65232619,1,-20.992,47.402,"Ampatsoana"
"7",7,"Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Eulemur_rufifrons",0.551822327,29.625,45,0.880695983,99.65232619,1,-20.992,47.402,"Ampatsoana"
"8",8,"Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Varecia_variegata",0.15218218,29.625,45,0.880695983,99.65232619,1,-20.992,47.402,"Ampatsoana"
"9",9,"Ampatsoana_A",0.57282432716106,2.54811238089256,2.40619105492728,2.03261821473538,1.81260513305743,2.5310247144301,1.76622548421864,3.83651758086656,0.752530034365492,0.149648241547656,2.37937429487552,"Microcebus_rufus",2.797175093,29.625,45,0.880695983,99.65232619,1,-20.992,47.402,"Ampatsoana"
"10",10,"Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Avahi_laniger",0.463923041,8.625,34,0.390494706,206.4047433,16,-20.999,47.392,"Ampatsoana"
"11",11,"Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Lepilemur_microdon",0.333689069,8.625,34,0.390494706,206.4047433,16,-20.999,47.392,"Ampatsoana"
"12",12,"Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Cheirogaleus_crossleyi",0.603491749,8.625,34,0.390494706,206.4047433,16,-20.999,47.392,"Ampatsoana"
"13",13,"Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Eulemur_rufifrons",0.441647285,8.625,34,0.390494706,206.4047433,16,-20.999,47.392,"Ampatsoana"
"14",14,"Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Propithecus_edwardsi",2.695104412,8.625,34,0.390494706,206.4047433,16,-20.999,47.392,"Ampatsoana"
"15",15,"Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Microcebus_rufus",2.800292681,8.625,34,0.390494706,206.4047433,16,-20.999,47.392,"Ampatsoana"
"16",16,"Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Varecia_variegata",0.133819872,8.625,34,0.390494706,206.4047433,16,-20.999,47.392,"Ampatsoana"
"17",17,"Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Hapalemur_griseus",1.132881298,8.625,34,0.390494706,206.4047433,16,-20.999,47.392,"Ampatsoana"
"18",18,"Ampatsoana_B",0.586852339499158,2.7097829652782,2.54335572293841,2.12847939956181,1.91764865177555,2.49499359844882,1.74026392754554,3.78132686781052,0.724343729089732,0.165336243595355,2.29263317114066,"Eulemur_rubriventer",3.223098692,8.625,34,0.390494706,206.4047433,16,-20.999,47.392,"Ampatsoana"
"19",19,"Ampatsoana_C",0.567108104535776,2.58618402580304,2.46073186084947,2.02436124123219,1.84676575607494,2.46224800216881,1.66176864349299,3.86901362682495,0.742977799408064,0.149678338414748,2.32453827247706,"Propithecus_edwardsi",2.613333324,31,71,0.886609648,177.8618231,1,-21.009,47.382,"Ampatsoana"
"20",20,"Ampatsoana_C",0.567108104535776,2.58618402580304,2.46073186084947,2.02436124123219,1.84676575607494,2.46224800216881,1.66176864349299,3.86901362682495,0.742977799408064,0.149678338414748,2.32453827247706,"Hapalemur_griseus",1.133940318,31,71,0.886609648,177.8618231,1,-21.009,47.382,"Ampatsoana"
"21",21,"Ampatsoana_C",0.567108104535776,2.58618402580304,2.46073186084947,2.02436124123219,1.84676575607494,2.46224800216881,1.66176864349299,3.86901362682495,0.742977799408064,0.149678338414748,2.32453827247706,"Eulemur_rufifrons",0.361317283,31,71,0.886609648,177.8618231,1,-21.009,47.382,"Ampatsoana"
"22",22,"Ampatsoana_C",0.567108104535776,2.58618402580304,2.46073186084947,2.02436124123219,1.84676575607494,2.46224800216881,1.66176864349299,3.86901362682495,0.742977799408064,0.149678338414748,2.32453827247706,"Varecia_variegata",0.114246668,31,71,0.886609648,177.8618231,1,-21.009,47.382,"Ampatsoana"
"23",23,"Ampatsoana_C",0.567108104535776,2.58618402580304,2.46073186084947,2.02436124123219,1.84676575607494,2.46224800216881,1.66176864349299,3.86901362682495,0.742977799408064,0.149678338414748,2.32453827247706,"Microcebus_rufus",2.814508284,31,71,0.886609648,177.8618231,1,-21.009,47.382,"Ampatsoana"
"24",24,"Ampatsoana_C",0.567108104535776,2.58618402580304,2.46073186084947,2.02436124123219,1.84676575607494,2.46224800216881,1.66176864349299,3.86901362682495,0.742977799408064,0.149678338414748,2.32453827247706,"Cheirogaleus_crossleyi",0.568299152,31,71,0.886609648,177.8618231,1,-21.009,47.382,"Ampatsoana"
"25",25,"Ampatsoana_C",0.567108104535776,2.58618402580304,2.46073186084947,2.02436124123219,1.84676575607494,2.46224800216881,1.66176864349299,3.86901362682495,0.742977799408064,0.149678338414748,2.32453827247706,"Lepilemur_microdon",0.367522064,31,71,0.886609648,177.8618231,1,-21.009,47.382,"Ampatsoana"
"26",26,"Ampatsoana_C",0.567108104535776,2.58618402580304,2.46073186084947,2.02436124123219,1.84676575607494,2.46224800216881,1.66176864349299,3.86901362682495,0.742977799408064,0.149678338414748,2.32453827247706,"Eulemur_rubriventer",3.045485015,31,71,0.886609648,177.8618231,1,-21.009,47.382,"Ampatsoana"
"27",27,"Ampatsoana_C",0.567108104535776,2.58618402580304,2.46073186084947,2.02436124123219,1.84676575607494,2.46224800216881,1.66176864349299,3.86901362682495,0.742977799408064,0.149678338414748,2.32453827247706,"Avahi_laniger",0.456579009,31,71,0.886609648,177.8618231,1,-21.009,47.382,"Ampatsoana"
"28",28,"Ampatsoana_D",0.582513615138123,2.74319863311676,2.58049601307748,2.21503272840228,1.98732926062545,2.35019155154504,1.64873177533712,3.54801914893138,0.79353575859369,0.161185727883684,2.34167083186368,"Propithecus_edwardsi",3.236681068,-18.25,97,1.867807649,158.7168475,2,-21.022,47.438,"Ampatsoana"
"29",29,"Ampatsoana_D",0.582513615138123,2.74319863311676,2.58049601307748,2.21503272840228,1.98732926062545,2.35019155154504,1.64873177533712,3.54801914893138,0.79353575859369,0.161185727883684,2.34167083186368,"Eulemur_rubriventer",4.846762706,-18.25,97,1.867807649,158.7168475,2,-21.022,47.438,"Ampatsoana"
"30",30,"Ampatsoana_D",0.582513615138123,2.74319863311676,2.58049601307748,2.21503272840228,1.98732926062545,2.35019155154504,1.64873177533712,3.54801914893138,0.79353575859369,0.161185727883684,2.34167083186368,"Varecia_variegata",0.291930845,-18.25,97,1.867807649,158.7168475,2,-21.022,47.438,"Ampatsoana"
"31",31,"Ampatsoana_D",0.582513615138123,2.74319863311676,2.58049601307748,2.21503272840228,1.98732926062545,2.35019155154504,1.64873177533712,3.54801914893138,0.79353575859369,0.161185727883684,2.34167083186368,"Eulemur_rufifrons",1.109705227,-18.25,97,1.867807649,158.7168475,2,-21.022,47.438,"Ampatsoana"
"32",32,"Ampatsoana_D",0.582513615138123,2.74319863311676,2.58049601307748,2.21503272840228,1.98732926062545,2.35019155154504,1.64873177533712,3.54801914893138,0.79353575859369,0.161185727883684,2.34167083186368,"Microcebus_rufus",2.756913801,-18.25,97,1.867807649,158.7168475,2,-21.022,47.438,"Ampatsoana"
"33",33,"Ampatsoana_D",0.582513615138123,2.74319863311676,2.58049601307748,2.21503272840228,1.98732926062545,2.35019155154504,1.64873177533712,3.54801914893138,0.79353575859369,0.161185727883684,2.34167083186368,"Hapalemur_griseus",1.149207606,-18.25,97,1.867807649,158.7168475,2,-21.022,47.438,"Ampatsoana"
"34",34,"Ampatsoana_D",0.582513615138123,2.74319863311676,2.58049601307748,2.21503272840228,1.98732926062545,2.35019155154504,1.64873177533712,3.54801914893138,0.79353575859369,0.161185727883684,2.34167083186368,"Lepilemur_microdon",0.22903587,-18.25,97,1.867807649,158.7168475,2,-21.022,47.438,"Ampatsoana"
